param,aic
"[(0, 1, 1), (3, 0, 3, 2)]",13668.194940446809
"[(1, 1, 2), (2, 0, 3, 5)]",13673.129250271755
"[(1, 1, 0), (3, 0, 3, 2)]",13673.404049750508
"[(2, 1, 3), (1, 0, 2, 5)]",13673.408215174928
"[(1, 1, 2), (3, 0, 2, 5)]",13674.411839583672
"[(0, 1, 1), (1, 0, 0, 7)]",13676.420372029457
"[(1, 1, 2), (1, 0, 0, 7)]",13678.093587686122
"[(3, 1, 1), (0, 0, 2, 7)]",13678.364877089734
"[(0, 1, 2), (0, 0, 2, 7)]",13678.77551291954
"[(1, 1, 1), (0, 0, 2, 7)]",13678.845989589063
"[(3, 1, 2), (0, 0, 2, 7)]",13679.395923703763
"[(2, 1, 3), (1, 0, 3, 5)]",13680.092976981014
"[(2, 1, 1), (0, 0, 2, 7)]",13680.562012753722
"[(0, 1, 3), (0, 0, 2, 7)]",13680.620225302231
"[(1, 1, 3), (0, 0, 2, 7)]",13682.195053698422
"[(2, 1, 2), (0, 0, 2, 7)]",13682.797477080883
"[(0, 1, 1), (3, 0, 3, 5)]",13686.468859440794
"[(3, 1, 1), (2, 0, 3, 5)]",13687.056641875399
"[(2, 1, 3), (0, 0, 1, 5)]",13687.300615721137
"[(0, 1, 2), (2, 0, 3, 5)]",13687.603847503036
"[(0, 1, 1), (0, 0, 2, 7)]",13697.011087672126
"[(1, 1, 2), (0, 0, 2, 7)]",13698.210311916086
"[(2, 1, 3), (2, 0, 1, 5)]",13725.057674022795
"[(0, 1, 1), (3, 0, 2, 2)]",13725.169082191373
"[(3, 1, 0), (3, 0, 3, 5)]",13757.446666323216
"[(3, 1, 0), (2, 0, 2, 5)]",13762.154558609396
"[(2, 1, 0), (2, 0, 0, 7)]",13767.528891481954
"[(3, 1, 0), (2, 0, 3, 5)]",13780.685710658478
"[(3, 1, 0), (3, 0, 2, 5)]",13781.418516948115
"[(1, 1, 0), (3, 0, 0, 7)]",13827.712165300698
"[(3, 1, 2), (0, 0, 1, 7)]",13827.790882660338
"[(3, 1, 3), (0, 0, 1, 7)]",13829.202938721535
"[(3, 1, 1), (0, 0, 1, 7)]",13832.979694438603
"[(1, 1, 3), (0, 0, 1, 7)]",13842.560035430975
"[(0, 1, 2), (0, 0, 1, 7)]",13843.971092980808
"[(1, 1, 1), (0, 0, 1, 7)]",13844.762206083367
"[(2, 1, 1), (0, 0, 1, 7)]",13844.838145436934
"[(0, 1, 3), (0, 0, 1, 7)]",13845.967454695814
"[(2, 1, 2), (0, 0, 1, 7)]",13848.750698596003
"[(3, 1, 0), (0, 0, 3, 7)]",13860.20433859429
"[(0, 1, 1), (0, 0, 1, 7)]",13864.632562344716
"[(1, 1, 2), (0, 0, 1, 7)]",13868.502425128816
"[(3, 1, 2), (0, 0, 3, 5)]",13903.543449064173
"[(3, 1, 2), (1, 0, 3, 5)]",13904.316579133952
"[(3, 1, 2), (3, 0, 1, 5)]",13920.400452784248
"[(2, 1, 0), (2, 0, 2, 5)]",13925.30691702242
