param,aic
"[(3, 1, 0), (2, 0, 3, 5)]",13838.315382491986
"[(2, 1, 3), (1, 0, 3, 5)]",13841.330966507565
"[(3, 1, 0), (0, 0, 3, 7)]",13867.448697182435
"[(3, 1, 3), (0, 0, 1, 5)]",13877.602237404459
"[(3, 1, 3), (1, 0, 0, 5)]",13896.685075119216
"[(3, 1, 3), (1, 0, 1, 5)]",13899.138341192756
"[(3, 1, 3), (0, 0, 0, 2)]",13902.526841275056
"[(3, 1, 3), (0, 0, 0, 5)]",13902.526841275056
"[(3, 1, 3), (0, 0, 0, 7)]",13902.526841275056
"[(2, 1, 3), (0, 0, 1, 5)]",13903.777794710486
"[(2, 1, 3), (0, 0, 0, 5)]",13917.458117561775
"[(2, 1, 3), (0, 0, 0, 7)]",13917.458117561775
"[(2, 1, 3), (0, 0, 0, 2)]",13917.458117561775
"[(2, 1, 0), (2, 0, 2, 5)]",13932.644015880445
"[(2, 1, 0), (3, 0, 3, 5)]",13933.420420750803
"[(3, 1, 0), (1, 0, 0, 7)]",13942.941360864512
"[(3, 1, 2), (0, 0, 2, 5)]",13943.230393458458
"[(2, 1, 3), (1, 0, 0, 5)]",13943.343091355644
"[(2, 1, 3), (1, 0, 1, 5)]",13945.750107195032
"[(1, 1, 0), (2, 0, 0, 7)]",13951.973161340882
"[(2, 1, 0), (0, 0, 3, 7)]",13959.235479701932
"[(3, 1, 1), (3, 0, 2, 5)]",13969.458636884798
"[(2, 1, 0), (3, 0, 2, 5)]",13970.604003811673
"[(3, 1, 3), (0, 0, 3, 5)]",13971.824243466437
"[(3, 1, 3), (1, 0, 3, 5)]",13973.360963982612
"[(2, 1, 0), (2, 0, 3, 5)]",13977.74400114507
"[(3, 1, 1), (1, 0, 2, 5)]",13982.587592628846
"[(3, 1, 1), (0, 0, 2, 5)]",13982.715023683955
"[(1, 1, 3), (0, 0, 2, 5)]",13982.92178612464
"[(3, 1, 1), (2, 0, 1, 5)]",13983.307578548418
"[(1, 1, 3), (1, 0, 2, 5)]",13983.619903892259
"[(3, 1, 1), (0, 0, 3, 5)]",13983.778624154143
"[(1, 1, 3), (0, 0, 3, 5)]",13983.931500182181
"[(3, 1, 1), (1, 0, 3, 5)]",13984.06402072416
"[(3, 1, 1), (3, 0, 1, 5)]",13984.714797912158
"[(1, 1, 1), (1, 0, 2, 2)]",13985.007098124821
"[(1, 1, 1), (2, 0, 2, 2)]",13985.092989756959
"[(1, 1, 3), (1, 0, 3, 5)]",13985.245549297673
"[(1, 1, 1), (1, 0, 3, 2)]",13985.657246170278
"[(3, 1, 1), (1, 0, 1, 5)]",13986.545245974808
"[(1, 1, 3), (3, 0, 1, 5)]",13987.12385508457
"[(3, 1, 0), (0, 0, 2, 7)]",13987.284775903772
"[(3, 1, 1), (2, 0, 0, 5)]",13987.570159198014
"[(3, 1, 1), (0, 0, 2, 2)]",13987.656593201373
"[(3, 1, 1), (0, 0, 3, 2)]",13988.307299764472
"[(1, 1, 3), (2, 0, 1, 5)]",13988.319238401917
"[(1, 1, 3), (2, 0, 0, 5)]",13989.388147187214
"[(3, 1, 1), (3, 0, 0, 5)]",13989.410237789429
"[(1, 1, 3), (3, 0, 0, 5)]",13991.39228405241
"[(1, 1, 0), (3, 0, 2, 2)]",13993.818713590856
"[(0, 1, 1), (1, 0, 3, 2)]",13994.761983795954
"[(1, 1, 0), (1, 0, 3, 2)]",13996.026168830205
"[(1, 1, 2), (2, 0, 0, 5)]",13996.683615521259
"[(0, 1, 2), (1, 0, 3, 5)]",13997.487086604708
"[(1, 1, 2), (3, 0, 0, 5)]",13997.516046382605
"[(1, 1, 2), (2, 0, 1, 5)]",13997.878552815982
"[(3, 1, 0), (0, 0, 3, 2)]",13998.02070656155
"[(1, 1, 2), (0, 0, 2, 5)]",13998.261885124739
"[(1, 1, 1), (1, 0, 3, 5)]",13998.377875955484
"[(2, 1, 2), (2, 0, 0, 5)]",13998.670695353383
"[(1, 1, 2), (1, 0, 2, 5)]",13998.734624664987
"[(0, 1, 1), (1, 0, 2, 2)]",13998.8641594761
"[(2, 1, 2), (3, 0, 0, 5)]",13999.415743944697
"[(2, 1, 2), (2, 0, 1, 5)]",13999.830585772423
"[(1, 1, 2), (0, 0, 3, 5)]",13999.869210359384
"[(1, 1, 2), (3, 0, 1, 5)]",13999.978453091833
"[(2, 1, 2), (0, 0, 2, 5)]",14000.033874540295
"[(3, 1, 2), (2, 0, 0, 5)]",14000.554404544724
"[(0, 1, 2), (1, 0, 2, 5)]",14001.098498083655
